model,F1,error
vit_large_r50_s32_224.augreg_in21k,0.8361910574131949,
resnet14t.c3_in1k,0.7800336172693092,
resnetv2_50x3_bit.goog_in21k_ft_in1k,0.7396202655015955,
resnetv2_50x3_bit.goog_in21k,0.7453239442583298,
vit_large_r50_s32_224.augreg_in21k_ft_in1k,0.7812152761172964,
vit_base_patch16_224.augreg_in21k,0.7970057172496985,
rexnetr_300.sw_in12k,0.7588881063287932,
mixer_b16_224.goog_in21k_ft_in1k,0.7736232246227208,
vit_base_patch16_224.augreg_in21k_ft_in1k,0.7549212002747401,
eva02_base_patch16_clip_224.merged2b,0.7239782363775593,
rexnetr_300.sw_in12k_ft_in1k,0.8579553222257468,
tf_efficientnetv2_b3.in21k,0.7631096582590504,
convnext_base.clip_laiona_augreg_320,0.7645280515713131,
seresnextaa101d_32x8d.sw_in12k_ft_in1k,0.7696009067397978,
vit_base_patch32_224.augreg_in21k,0.7410702359840424,
vit_base_patch32_224.augreg_in21k_ft_in1k,0.7010955829559722,
resnet26.bt_in1k,0.660911465034864,
beitv2_base_patch16_224.in1k_ft_in22k,0.8011850886569936,
resnet152.gluon_in1k,0.6460688121919269,
resnetv2_101x1_bit.goog_in21k,0.6947150092279658,
mixer_b16_224.miil_in21k,0.7595810913545816,
regnety_320.swag_lc_in1k,0.7568828164083357,
tf_efficientnetv2_b3.in21k_ft_in1k,0.7086600444048168,
regnety_160.sw_in12k,0.748271902616628,
rexnet_200.nav_in1k,0.6738342113516821,
regnety_120.sw_in12k,0.7646836187964883,
regnety_120.sw_in12k_ft_in1k,0.672205088943145,
resmlp_12_224.fb_dino,0.7018594301176141,
resnet50.am_in1k,0.6751803573962658,
vit_base_r50_s16_224.orig_in21k,0.8293641637139001,
repvgg_a2.rvgg_in1k,0.6927400241896019,
convnext_small.in12k_ft_in1k_384,0.7808343079337271,
resmlp_36_224.fb_in1k,0.7254784971949593,
convnext_small.in12k_ft_in1k,0.7594561058338141,
mixer_b16_224.goog_in21k,0.7728308481233861,
vit_base_patch16_clip_224.laion2b,0.7284012748653963,
vit_base_patch16_clip_224.openai_ft_in12k_in1k,0.7816454082074125,
vit_small_patch16_224.dino,0.7187656241072076,
rexnetr_200.sw_in12k,0.7577231343737789,
vit_base_patch16_clip_224.laion2b_ft_in1k,0.7391383306181276,
resnet26d.bt_in1k,0.6661412867442562,
mnasnet_small.lamb_in1k,0.6690131717998935,
vit_base_patch16_clip_224.openai_ft_in1k,0.786215931107149,
convnext_base.fb_in22k,0.7447347947131159,
convnext_small.in12k,0.775037978865927,
vit_base_patch16_224.dino,0.7600302119183894,
vit_base_patch16_clip_224.openai_ft_in12k,0.7621288728804798,
vit_small_r26_s32_224.augreg_in21k_ft_in1k,0.6131602762948434,
eva02_base_patch14_224.mim_in22k,0.7390799933146682,
regnety_160.sw_in12k_ft_in1k,0.7710960799760962,
regnetx_080.pycls_in1k,0.6790508551039269,
efficientnet_b5.sw_in12k,0.7190043187728472,
vit_large_patch32_224.orig_in21k,0.7421483129121875,
repvgg_b1.rvgg_in1k,0.7037511646974228,
seresnextaa101d_32x8d.sw_in12k,0.7596605323089866,
resnet50d.a3_in1k,0.7001861483249473,
vit_base_patch16_clip_224.openai,0.7805183907339915,
dpn131.mx_in1k,0.6845419443259817,
resnet101.tv_in1k,0.6093131932727431,
caformer_s18.sail_in22k,0.7313566077118544,
deit_base_patch16_224.fb_in1k,0.7437431510257548,
poolformer_m48.sail_in1k,0.7726884887989278,
focalnet_small_lrf.ms_in1k,0.7239565528428564,
regnety_160.pycls_in1k,0.6651575835973196,
pit_b_224.in1k,0.8098644229460136,
dm_nfnet_f1.dm_in1k,0.7071397956108361,
ecaresnetlight.miil_in1k,0.5964808789278545,
resnet50.bt_in1k,0.664393999058771,
resnet101.gluon_in1k,0.6245347352094452,
convnext_tiny.in12k,0.7343523866417042,
resnet101c.gluon_in1k,0.651739671956296,
wide_resnet50_2.tv_in1k,0.6494077999538037,
vit_base_patch16_224.sam_in1k,0.7343995669166836,
vit_base_patch16_224.orig_in21k_ft_in1k,0.752132295174222,
resnetaa50d.sw_in12k,0.7249978533072144,
deit_small_patch16_224.fb_in1k,0.7059616393212408,
convnext_base.fb_in22k_ft_in1k,0.7426382017005522,
repvgg_b1g4.rvgg_in1k,0.6818532991269746,
convnext_base.clip_laiona,0.7546841817403924,
vit_base_patch16_clip_224.laion2b_ft_in12k,0.7215376978320838,
regnetx_160.pycls_in1k,0.6498456101628237,
tf_efficientnetv2_s.in21k_ft_in1k,0.6578204790328577,
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,0.7537897087256955,
rexnetr_200.sw_in12k_ft_in1k,0.7316268949406018,
regnety_160.swag_lc_in1k,0.7517023727816453,
poolformer_m36.sail_in1k,0.7272629290356145,
resnet50c.gluon_in1k,0.6214132347823578,
poolformerv2_m36.sail_in1k,0.7376830494908166,
resnext101_32x8d.fb_wsl_ig1b_ft_in1k,0.7957392575287539,
ecaresnet50t.a3_in1k,0.6896191786366499,
regnetx_032.pycls_in1k,0.6658619394422745,
legacy_seresnet101.in1k,0.6465385827721372,
rexnet_130.nav_in1k,0.6995397538053325,
densenet121.tv_in1k,0.6599382190220949,
semnasnet_075.rmsp_in1k,0.6771825529233838,
convnext_tiny.fb_in22k_ft_in1k,0.7403057036265053,
repvgg_b3g4.rvgg_in1k,0.6719868822140402,
convnext_nano.in12k,0.7656875511734675,
repvgg_b0.rvgg_in1k,0.6684865737917605,
resnet50d.gluon_in1k,0.6558232007822895,
efficientformer_l7.snap_dist_in1k,0.7930839212497219,
vit_small_patch32_224.augreg_in21k,0.6814897057217519,
resnet152.tv_in1k,0.5881708964482575,
mixer_b16_224.miil_in21k_ft_in1k,0.73049330237202,
dla102x2.in1k,0.7008401450364646,
wide_resnet101_2.tv2_in1k,0.5978847502789351,
vit_base_patch16_224.mae,0.7287237196442532,
convformer_s36.sail_in1k,0.6482506928927431,
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,0.6302975433765511,
tf_efficientnetv2_s.in21k,0.728495779353868,
pit_xs_distilled_224.in1k,0.7018368865129716,
resnetrs50.tf_in1k,0.6751431347692601,
convnext_base.clip_laion2b_augreg_ft_in12k,0.74224616137422,
nfnet_l0.ra2_in1k,0.6806357397039342,
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,0.7782379012532313,
deit3_base_patch16_224.fb_in1k,0.6972779386827574,
vit_base_patch16_224.augreg2_in21k_ft_in1k,0.7680421063029825,
twins_svt_large.in1k,0.7948386428730436,
convnext_nano.in12k_ft_in1k,0.7081400900833192,
gernet_m.idstcv_in1k,0.6690715595408886,
vit_base_patch32_224.augreg_in1k,0.6744036246224887,
swinv2_cr_small_ns_224.sw_in1k,0.7643182076661894,
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,0.7663471122285234,
regnetx_320.pycls_in1k,0.6712923759608451,
resnetaa101d.sw_in12k,0.7167032285596138,
convnextv2_nano.fcmae_ft_in1k,0.7522099990223423,
rexnet_150.nav_in1k,0.6726549314154815,
xcit_small_24_p16_224.fb_dist_in1k,0.7582912332092575,
seresnext101d_32x8d.ah_in1k,0.6642118018951838,
deit_base_distilled_patch16_224.fb_in1k,0.7545003065457706,
repvgg_b2.rvgg_in1k,0.7067921725390168,
beitv2_base_patch16_224.in1k_ft_in22k_in1k,0.7864744804690369,
regnety_064.pycls_in1k,0.6536645129276066,
convnext_tiny.fb_in22k,0.7175015112373028,
vit_relpos_base_patch16_224.sw_in1k,0.7331036965290856,
resnetaa50d.d_in12k,0.5823359077987533,
resnest14d.gluon_in1k,0.6703278515619362,
beit_base_patch16_224.in22k_ft_in22k,0.7527425186253929,
hrnet_w18_small_v2.ms_in1k,0.6438627017659165,
coat_small.in1k,0.7331489385361384,
vit_base_patch16_224.augreg_in1k,0.753518701158634,
resnet50.ram_in1k,0.6511390302923606,
tf_efficientnetv2_m.in21k,0.7127752511709444,
resnet50.fb_ssl_yfcc100m_ft_in1k,0.6610548606667264,
pvt_v2_b5.in1k,0.7387217782066844,
vit_small_patch16_224.augreg_in21k,0.7530820159119085,
resnext101_32x8d.tv_in1k,0.7043321520869309,
regnety_032.pycls_in1k,0.6579992665024147,
mobilenetv2_140.ra_in1k,0.6959962976774965,
regnetx_064.pycls_in1k,0.672657936661049,
resnet152d.gluon_in1k,0.6460832816041692,
mvitv2_base.fb_in1k,0.7682183330974617,
resnet50.a3_in1k,0.6899153885940098,
densenet201.tv_in1k,0.6534372983862976,
legacy_seresnet50.in1k,0.6341609444422205,
vit_base_patch32_224.sam_in1k,0.700341038864627,
resnetv2_50x1_bit.goog_distilled_in1k,0.6252626022147649,
vit_relpos_base_patch16_clsgap_224.sw_in1k,0.7358934057243168,
caformer_s36.sail_in22k,0.7754564739887835,
hrnet_w44.ms_in1k,0.6609217675714919,
tinynet_e.in1k,0.6802222498121224,
vit_base_patch16_224_miil.in21k,0.7711521731832585,
pvt_v2_b1.in1k,0.7863152194515772,
dpn107.mx_in1k,0.5716941486401146,
dpn92.mx_in1k,0.6364527408449305,
vit_relpos_medium_patch16_rpn_224.sw_in1k,0.736631842354723,
vit_base_patch32_clip_224.openai,0.6374714628240703,
tresnet_v2_l.miil_in21k,0.6697584090179692,
regnetx_320.tv2_in1k,0.6455034248784619,
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,0.8548299398562319,
davit_base.msft_in1k,0.7023839419747159,
mvitv2_small.fb_in1k,0.7344329701501751,
resmlp_12_224.fb_in1k,0.7013759780696991,
convnext_base.clip_laion2b_augreg,0.6970935227651761,
fbnetc_100.rmsp_in1k,0.6674066673288879,
vit_base_patch16_rpn_224.sw_in1k,0.7088551901238254,
tresnet_m.miil_in21k,0.6511906796312064,
resnext101_32x4d.fb_ssl_yfcc100m_ft_in1k,0.607300657055218,
mixnet_xl.ra_in1k,0.65546218624503,
coatnet_0_rw_224.sw_in1k,0.853199227285406,
resnet101d.gluon_in1k,0.618908272547247,
regnety_320.seer,0.5855779786052764,
eca_nfnet_l1.ra2_in1k,0.735247911539608,
convnext_small.fb_in22k_ft_in1k,0.7261237072203333,
coat_lite_medium.in1k,0.7626087668630264,
visformer_small.in1k,0.711293569172717,
efficientnet_b1.ft_in1k,0.6703758941790304,
tf_efficientnet_es.in1k,0.682246977715927,
mobilenetv2_050.lamb_in1k,0.6155057950920284,
ecaresnet50t.a1_in1k,0.6261745288770786,
dla60.in1k,0.6134520721186265,
coatnet_rmlp_1_rw_224.sw_in1k,0.7647668145099162,
densenet161.tv_in1k,0.675434028960059,
levit_384.fb_dist_in1k,0.6999285363757587,
poolformer_s24.sail_in1k,0.7016126612587203,
eca_nfnet_l0.ra2_in1k,0.7248474030531056,
dm_nfnet_f0.dm_in1k,0.6903670972549136,
vit_base_patch16_224_miil.in21k_ft_in1k,0.7755972235455656,
pit_b_distilled_224.in1k,0.7797303832228234,
resnext50_32x4d.a2_in1k,0.6409575782099196,
levit_conv_384.fb_dist_in1k,0.6896980446017786,
SelecSls42b.in1k,0.5826708897607777,
convnext_tiny_hnf.a2h_in1k,0.6912566505216942,
resnet152c.gluon_in1k,0.6363921590841181,
resnet50.fb_swsl_ig1b_ft_in1k,0.613616730979191,
resnet50.b1k_in1k,0.5070712938357286,
resnext101_64x4d.c1_in1k,0.6860008398674422,
mobilevitv2_175.cvnets_in22k_ft_in1k,0.7047362871570089,
resnet101.a2_in1k,0.623860375555609,
resnext50_32x4d.a3_in1k,0.5902572427672581,
focalnet_small_srf.ms_in1k,0.7187570235449697,
mobilevitv2_150.cvnets_in22k_ft_in1k,0.7007792771415576,
regnety_320.pycls_in1k,0.6838087470228259,
regnetx_120.pycls_in1k,0.6721841580169775,
beit_base_patch16_224.in22k_ft_in22k_in1k,0.7267113990111943,
haloregnetz_b.ra3_in1k,0.4849322940205263,
seresnet50.a3_in1k,0.715071590797838,
regnetx_016.pycls_in1k,0.6493716675887287,
poolformer_s12.sail_in1k,0.6541720860409757,
twins_pcpvt_small.in1k,0.7215776552863027,
deit3_base_patch16_224.fb_in22k_ft_in1k,0.7404997584444497,
legacy_seresnext101_32x4d.in1k,0.6469405037896718,
resnext50_32x4d.ra_in1k,0.7178813682304946,
resnext101_32x8d.fb_swsl_ig1b_ft_in1k,0.7143427887897171,
seresnext26t_32x4d.bt_in1k,0.6450808864788855,
regnety_120.pycls_in1k,0.6585066501236736,
densenet169.tv_in1k,0.6594371512258542,
xcit_tiny_12_p8_384.fb_dist_in1k,0.7357724727744507,
pit_s_224.in1k,0.7588635832662947,
gcvit_small.in1k,0.7238373528206304,
resmlp_24_224.fb_in1k,0.7205338738212734,
semnasnet_100.rmsp_in1k,0.6307521016444834,
mobilenetv2_120d.ra_in1k,0.6676183409083927,
mnasnet_100.rmsp_in1k,0.6479554696197555,
convnextv2_pico.fcmae_ft_in1k,0.7218191775603717,
eca_resnext26ts.ch_in1k,0.6424303659003188,
resnet152.tv2_in1k,0.6493180423047377,
resnet50.tv2_in1k,0.6231497408114385,
gcvit_tiny.in1k,0.7235411029303239,
densenetblur121d.ra_in1k,0.6380845646142375,
legacy_seresnet152.in1k,0.639732637372224,
resnet50.gluon_in1k,0.6297658124372061,
regnetz_b16.ra3_in1k,0.6305301720779458,
resmlp_12_224.fb_distilled_in1k,0.6996378875313607,
regnetx_040.pycls_in1k,0.6550323755227214,
tresnet_v2_l.miil_in21k_ft_in1k,0.6781548260757575,
ecaresnet50t.a2_in1k,0.6343384252949873,
convnext_base.fb_in22k_ft_in1k_384,0.7085680601862749,
res2net50_14w_8s.in1k,0.481710050449734,
convnext_tiny.in12k_ft_in1k,0.7751780992959814,
resnext26ts.ra2_in1k,0.6573266415412097,
resnet101.a3_in1k,0.6791178580571333,
resnet50.a2_in1k,0.6525809634438852,
tf_efficientnet_em.in1k,0.6526298919541716,
vit_small_r26_s32_224.augreg_in21k,0.6975076629732819,
nest_base_jx.goog_in1k,0.7753916974159434,
mixnet_s.ft_in1k,0.6258751493070689,
twins_svt_base.in1k,0.8046133644474063,
mobilevitv2_200.cvnets_in22k_ft_in1k,0.628302593615065,
regnetx_160.tv2_in1k,0.6554264681534777,
resnest50d_4s2x40d.in1k,0.5382741664825823,
lambda_resnet50ts.a1h_in1k,0.6590054847680199,
repvgg_b2g4.rvgg_in1k,0.634484859236834,
xcit_tiny_12_p8_224.fb_dist_in1k,0.7435108181783369,
resnet50.tv_in1k,0.6486658845984743,
seresnext50_32x4d.gluon_in1k,0.5742505594250242,
vit_small_patch8_224.dino,0.7541397339847845,
tf_mixnet_l.in1k,0.6151725068360165,
resnet34.a3_in1k,0.5557553475623593,
resnet51q.ra2_in1k,0.614829137669601,
tf_efficientnetv2_b2.in1k,0.6336680543236262,
resnet50.a1h_in1k,0.590809799537936,
tinynet_b.in1k,0.6520099517130575,
convnext_base.clip_laion2b,0.6784636906937845,
hrnet_w18.ms_in1k,0.6637578825761432,
vit_small_patch32_224.augreg_in21k_ft_in1k,0.6541103998573838,
pit_ti_224.in1k,0.7012338350307374,
resnet50.c2_in1k,0.594561270296752,
focalnet_base_srf.ms_in1k,0.8108175382394164,
efficientnet_es.ra_in1k,0.6865376724125863,
resnext50d_32x4d.bt_in1k,0.6343720425257731,
efficientnet_lite0.ra_in1k,0.6538174208847991,
resnet50.ra_in1k,0.6675593653481666,
efficientnet_b0.ra_in1k,0.6862033087574881,
rexnet_300.nav_in1k,0.6847903513201447,
hrnet_w18.ms_aug_in1k,0.6413674396427953,
dla102.in1k,0.6501308913123333,
resnest26d.gluon_in1k,0.627903734390467,
convit_tiny.fb_in1k,0.6226421183110336,
crossvit_base_240.in1k,0.6971389468988376,
caformer_s36.sail_in22k_ft_in1k,0.7618298114488059,
tf_efficientnet_lite1.in1k,0.6190655302464969,
seresnext26d_32x4d.bt_in1k,0.6502379558162408,
resnetv2_50x1_bit.goog_in21k,0.6321926316097186,
resnetv2_101x1_bit.goog_in21k_ft_in1k,0.6978381279812166,
coatnet_rmlp_1_rw2_224.sw_in12k,0.8247620098860093,
resnest50d_1s4x24d.in1k,0.5846495143881693,
resnext101_32x8d.tv2_in1k,0.6424888145347333,
efficientnet_em.ra2_in1k,0.6298201353433528,
resmlp_24_224.fb_dino,0.7098073031292434,
efficientnet_el.ra_in1k,0.6435966885016805,
tresnet_m.miil_in21k_ft_in1k,0.6590441851389969,
tinynet_c.in1k,0.6193220811533302,
vit_base_patch32_clip_224.openai_ft_in1k,0.661538326423053,
resnet152.a2_in1k,0.4963106860646098,
tf_efficientnet_el.in1k,0.6087068725720919,
twins_pcpvt_large.in1k,0.7017716028347811,
convnext_small.fb_in22k_ft_in1k_384,0.706313462195463,
regnety_080.pycls_in1k,0.6704531115029193,
convformer_s36.sail_in22k,0.7098881935880462,
mvitv2_base_cls.fb_inw21k,0.7520179698413152,
wide_resnet50_2.tv2_in1k,0.6713465805424552,
mvitv2_tiny.fb_in1k,0.6750602392653519,
crossvit_15_dagger_240.in1k,0.7394048135090605,
resnet34.tv_in1k,0.599673826072898,
davit_small.msft_in1k,0.7089982096529794,
resnet50d.ra2_in1k,0.5794092510824251,
nf_resnet50.ra2_in1k,0.6711737475372065,
regnetv_064.ra3_in1k,0.55752161309555,
dla102x.in1k,0.6624128036819509,
resnext50_32x4d.tv_in1k,0.6843847309728347,
convnext_tiny.fb_in22k_ft_in1k_384,0.7058200592106271,
gernet_s.idstcv_in1k,0.6492104883785783,
sequencer2d_s.in1k,0.6784905704966934,
res2net50_48w_2s.in1k,0.681836635219454,
resnetaa50d.sw_in12k_ft_in1k,0.7099330472715532,
swinv2_cr_tiny_ns_224.sw_in1k,0.7198335595340689,
regnety_320.tv2_in1k,0.6394807553467234,
twins_pcpvt_base.in1k,0.779873855278628,
legacy_xception.tf_in1k,0.5792522209053059,
coatnet_1_rw_224.sw_in1k,0.8211712135996043,
focalnet_base_lrf.ms_in1k,0.7899496535814371,
pit_s_distilled_224.in1k,0.6815908899856733,
pvt_v2_b2.in1k,0.7249046811326327,
ecaresnet101d.miil_in1k,0.5890188413836246,
regnety_040.ra3_in1k,0.5842601091152331,
twins_svt_small.in1k,0.7603426965079108,
resnext50_32x4d.fb_ssl_yfcc100m_ft_in1k,0.7183048832279999,
convnext_nano_ols.d1h_in1k,0.6237999752394452,
resnet50d.a2_in1k,0.665620017331698,
mobilevitv2_175.cvnets_in22k_ft_in1k_384,0.6794555380801031,
resnext101_64x4d.gluon_in1k,0.576138744887074,
dpn98.mx_in1k,0.6784817658535258,
resnet152d.ra2_in1k,0.6069361683764696,
dla60x.in1k,0.6171409792593084,
xcit_medium_24_p16_384.fb_dist_in1k,0.7535854391131165,
resnext101_32x4d.gluon_in1k,0.5832050383936218,
seresnet50.ra2_in1k,0.6123197470223581,
sequencer2d_m.in1k,0.7364329042940574,
vit_tiny_patch16_224.augreg_in21k_ft_in1k,0.625860005749343,
convnext_small.fb_in22k,0.7252882795678562,
hrnet_w48_ssld.paddle_in1k,0.6348261469737696,
resnest101e.in1k,0.6921695622778621,
resnetv2_50.a1h_in1k,0.6091583169028878,
resnetv2_50d_gn.ah_in1k,0.5989744446950535,
resnet50_gn.a1h_in1k,0.5660208790243746,
resnet18.a1_in1k,0.5789251069391693,
deit_tiny_distilled_patch16_224.fb_in1k,0.5994652034702926,
vit_relpos_medium_patch16_224.sw_in1k,0.7266955596128912,
resnet152.a3_in1k,0.6552362982684148,
xcit_medium_24_p16_224.fb_dist_in1k,0.775956230799129,
repvgg_b3.rvgg_in1k,0.5946960438655782,
efficientnet_el_pruned.in1k,0.6444385031903556,
coat_lite_small.in1k,0.6927439283662723,
gcresnet50t.ra2_in1k,0.5404397246478367,
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,0.7893481664829363,
legacy_seresnext50_32x4d.in1k,0.669098040192196,
convnext_nano.d1h_in1k,0.6871953972663997,
resnet50.c1_in1k,0.581537173875831,
cspresnext50.ra_in1k,0.6259786895309915,
vit_small_patch16_224.augreg_in21k_ft_in1k,0.7213449383009759,
hrnet_w30.ms_in1k,0.6328913723222558,
seresnet50.a1_in1k,0.6411518594724741,
tresnet_xl.miil_in1k,0.6553593865104766,
gernet_l.idstcv_in1k,0.6422633981592814,
tresnet_m.miil_in1k,0.6179695293520748,
resnet101.a1h_in1k,0.6392294986624546,
regnety_016.pycls_in1k,0.6366313915058412,
dla169.in1k,0.6862605815904228,
regnety_160.tv2_in1k,0.6682532024553735,
convformer_s18.sail_in22k,0.7256641799564344,
